,Lat/Long,MaxEirp,Lat,Long,geometry
275,"-96.786904,32.903296",36.0,32.903296,-96.786904,POINT (-96.786904 32.903296)
276,"-96.786949,32.907777",36.0,32.907777,-96.786949,POINT (-96.786949 32.907777)
277,"-96.786993,32.912258",36.0,32.912258,-96.786993,POINT (-96.786993 32.912258)
278,"-96.787038,32.916738",36.0,32.916738,-96.787038,POINT (-96.787038 32.916738)
279,"-96.787082,32.921219",36.0,32.921219,-96.787082,POINT (-96.787082 32.921219)
280,"-96.787127,32.925699",36.0,32.925699,-96.787127,POINT (-96.787127 32.925699)
281,"-96.787171,32.93018",36.0,32.93018,-96.787171,POINT (-96.787171 32.93018)
282,"-96.787216,32.93466",36.0,32.93466,-96.787216,POINT (-96.787216 32.93466)
283,"-96.78726,32.939141",36.0,32.939141,-96.78726,POINT (-96.78726 32.939141)
284,"-96.787305,32.943621",36.0,32.943621,-96.787305,POINT (-96.787305 32.943621)
285,"-96.79018,32.692631",36.0,32.692631,-96.79018,POINT (-96.79018 32.692631)
286,"-96.790224,32.697113",36.0,32.697113,-96.790224,POINT (-96.790224 32.697113)
287,"-96.790269,32.701595",36.0,32.701595,-96.790269,POINT (-96.790269 32.701595)
288,"-96.790314,32.706077",36.0,32.706077,-96.790314,POINT (-96.790314 32.706077)
289,"-96.790358,32.710559",36.0,32.710559,-96.790358,POINT (-96.790358 32.710559)
290,"-96.790403,32.715041",36.0,32.715041,-96.790403,POINT (-96.790403 32.715041)
291,"-96.790447,32.719523",36.0,32.719523,-96.790447,POINT (-96.790447 32.719523)
292,"-96.790492,32.724005",36.0,32.724005,-96.790492,POINT (-96.790492 32.724005)
293,"-96.790537,32.728487",36.0,32.728487,-96.790537,POINT (-96.790537 32.728487)
294,"-96.790581,32.732969",36.0,32.732969,-96.790581,POINT (-96.790581 32.732969)
295,"-96.790626,32.737451",36.0,32.737451,-96.790626,POINT (-96.790626 32.737451)
296,"-96.790671,32.741933",36.0,32.741933,-96.790671,POINT (-96.790671 32.741933)
297,"-96.790715,32.746415",36.0,32.746415,-96.790715,POINT (-96.790715 32.746415)
298,"-96.79076,32.750897",36.0,32.750897,-96.79076,POINT (-96.79076 32.750897)
299,"-96.790805,32.755378",36.0,32.755378,-96.790805,POINT (-96.790805 32.755378)
300,"-96.790849,32.75986",36.0,32.75986,-96.790849,POINT (-96.790849 32.75986)
301,"-96.790894,32.764342",36.0,32.764342,-96.790894,POINT (-96.790894 32.764342)
302,"-96.790939,32.768823",36.0,32.768823,-96.790939,POINT (-96.790939 32.768823)
303,"-96.790983,32.773305",36.0,32.773305,-96.790983,POINT (-96.790983 32.773305)
304,"-96.791028,32.777787",29.851777,32.777787,-96.791028,POINT (-96.791028 32.777787)
305,"-96.791073,32.782268",36.0,32.782268,-96.791073,POINT (-96.791073 32.782268)
306,"-96.791117,32.78675",36.0,32.78675,-96.791117,POINT (-96.791117 32.78675)
307,"-96.791162,32.791231",36.0,32.791231,-96.791162,POINT (-96.791162 32.791231)
