,Lat/Long,MaxEirp,Lat,Long,geometry
186,"-96.780114,32.759934",36.0,32.759934,-96.780114,POINT (761137.0878130205 2122551.330656126)
187,"-96.780158,32.764416",36.0,32.764416,-96.780158,POINT (761124.8297822266 2123048.194407497)
188,"-96.780203,32.768898",36.0,32.768898,-96.780203,POINT (761112.4784922749 2123545.0567961494)
189,"-96.780247,32.773379",36.0,32.773379,-96.780247,POINT (761100.2231084831 2124041.810019732)
190,"-96.780291,32.777861",36.0,32.777861,-96.780291,POINT (761087.9663229517 2124538.674293008)
191,"-96.780335,32.782342",36.0,32.782342,-96.780335,POINT (761075.7117659276 2125035.427873482)
192,"-96.780379,32.786824",36.0,32.786824,-96.780379,POINT (761063.455807155 2125532.2925098133)
193,"-96.780423,32.791305",36.0,32.791305,-96.780423,POINT (761051.2020766976 2126029.046459346)
194,"-96.780467,32.795787",36.0,32.795787,-96.780467,POINT (761038.9469444854 2126525.911470896)
195,"-96.780511,32.800268",36.0,32.800268,-96.780511,POINT (761026.6940403978 2127022.6658016522)
196,"-96.780555,32.80475",36.0,32.80475,-96.780555,POINT (761014.4397345476 2127519.5312005943)
197,"-96.780599,32.809231",36.0,32.809231,-96.780599,POINT (761002.1876566327 2128016.28592474)
198,"-96.780644,32.813713",36.0,32.813713,-96.780644,POINT (760989.8405515038 2128513.150190793)
199,"-96.780688,32.818194",36.0,32.818194,-96.780688,POINT (760977.5893042908 2129009.9053206127)
200,"-96.780732,32.822675",36.0,32.822675,-96.780732,POINT (760965.3384699661 2129506.660657754)
201,"-96.780776,32.827156",36.0,32.827156,-96.780776,POINT (760953.0880484825 2130003.416205254)
202,"-96.78082,32.831638",36.0,32.831638,-96.78082,POINT (760940.8362252122 2130500.282839462)
203,"-96.780864,32.836119",36.0,32.836119,-96.780864,POINT (760928.5866293069 2130997.0388168585)
204,"-96.780908,32.8406",36.0,32.8406,-96.780908,POINT (760916.3374460904 2131493.795013743)
205,"-96.780952,32.845081",36.0,32.845081,-96.780952,POINT (760904.088675517 2131990.5514331567)
206,"-96.780997,32.849562",36.0,32.849562,-96.780997,POINT (760891.746729923 2132487.3065466257)
207,"-96.781041,32.854043",36.0,32.854043,-96.781041,POINT (760879.4987892122 2132984.0634203423)
208,"-96.781085,32.858524",36.0,32.858524,-96.781085,POINT (760867.2512609959 2133480.8205257216)
209,"-96.781129,32.863005",36.0,32.863005,-96.781129,POINT (760855.0041452221 2133977.5778657948)
210,"-96.781173,32.867486",36.0,32.867486,-96.781173,POINT (760842.757441845 2134474.3354436173)
211,"-96.781218,32.871967",36.0,32.871967,-96.781218,POINT (760830.4175868414 2134971.091731293)
212,"-96.781262,32.876448",36.0,32.876448,-96.781262,POINT (760818.1717128305 2135467.849793851)
213,"-96.781306,32.880929",36.0,32.880929,-96.781306,POINT (760805.9262510667 2135964.6081032786)
214,"-96.78135,32.88541",36.0,32.88541,-96.78135,POINT (760793.6812014979 2136461.3666626243)
215,"-96.781394,32.889891",36.0,32.889891,-96.781394,POINT (760781.436564076 2136958.125474929)
216,"-96.781438,32.894372",36.0,32.894372,-96.781438,POINT (760769.1923387536 2137454.884543244)
217,"-96.781483,32.898852",36.0,32.898852,-96.781483,POINT (760756.8568037684 2137951.531466283)
218,"-96.781527,32.903333",36.0,32.903333,-96.781527,POINT (760744.6134071741 2138448.2910558023)
219,"-96.781571,32.907814",36.0,32.907814,-96.781571,POINT (760732.3704225274 2138945.0509104542)
220,"-96.781615,32.912295",36.0,32.912295,-96.781615,POINT (760720.1278497801 2139441.8110332876)
221,"-96.78166,32.916775",36.0,32.916775,-96.78166,POINT (760707.7939859048 2139938.4590232614)
222,"-96.781704,32.921256",36.0,32.921256,-96.781704,POINT (760695.5522414922 2140435.2196916514)
223,"-96.781748,32.925736",36.0,32.925736,-96.781748,POINT (760683.3127224455 2140931.8697629124)
224,"-96.781792,32.930217",36.0,32.930217,-96.781792,POINT (760671.0718014397 2141428.6309889164)
225,"-96.781837,32.934697",36.0,32.934697,-96.781837,POINT (760658.7396078366 2141925.2800944583)
226,"-96.781881,32.939178",36.0,32.939178,-96.781881,POINT (760646.4995147674 2142422.0418903744)
227,"-96.781925,32.943658",36.0,32.943658,-96.781925,POINT (760634.261646685 2142918.6931010885)
228,"-96.784817,32.692668",36.0,32.692668,-96.784817,POINT (760818.2748291595 2115086.1788186473)
229,"-96.784861,32.69715",36.0,32.69715,-96.784861,POINT (760806.0359519222 2115583.0409959382)
230,"-96.784906,32.701632",36.0,32.701632,-96.784906,POINT (760793.703745218 2116079.9017678895)
231,"-96.78495,32.706114",36.0,32.706114,-96.78495,POINT (760781.4657013158 2116576.764198826)
232,"-96.784994,32.710596",36.0,32.710596,-96.784994,POINT (760769.2280716393 2117073.6267610826)
233,"-96.785038,32.715078",36.0,32.715078,-96.785038,POINT (760756.9908561412 2117570.4894577027)
234,"-96.785083,32.71956",36.0,32.71956,-96.785083,POINT (760744.6603298977 2118067.3507616073)
235,"-96.785127,32.724042",36.0,32.724042,-96.785127,POINT (760732.423947339 2118564.213736188)
236,"-96.785171,32.728524",36.0,32.728524,-96.785171,POINT (760720.187978809 2119061.0768542546)
237,"-96.785216,32.733006",36.0,32.733006,-96.785216,POINT (760707.8587135741 2119557.938589077)
238,"-96.78526,32.737488",36.0,32.737488,-96.78526,POINT (760695.6235776879 2120054.8020033482)
239,"-96.785304,32.74197",36.0,32.74197,-96.785304,POINT (760683.3888556809 2120551.6655702256)
240,"-96.785349,32.746452",36.0,32.746452,-96.785349,POINT (760671.0608510096 2121048.527763333)
241,"-96.785393,32.750934",36.0,32.750934,-96.785393,POINT (760658.8269613483 2121545.39164466)
242,"-96.785437,32.755415",36.0,32.755415,-96.785437,POINT (760646.5952951112 2122042.1448150263)
243,"-96.785482,32.759897",36.0,32.759897,-96.785482,POINT (760634.2685505112 2122539.0074937567)
244,"-96.785526,32.764379",36.0,32.764379,-96.785526,POINT (760622.0359065854 2123035.8718694756)
245,"-96.785571,32.768861",36.0,32.768861,-96.785571,POINT (760609.7100033935 2123532.7348872195)
246,"-96.785615,32.773342",36.0,32.773342,-96.785615,POINT (760597.480000823 2124029.488734969)
247,"-96.785659,32.777824",36.0,32.777824,-96.785659,POINT (760585.2486021888 2124526.35363246)
248,"-96.785704,32.782305",36.0,32.782305,-96.785704,POINT (760572.9257677407 2125023.106308525)
249,"-96.785748,32.786787",36.0,32.786787,-96.785748,POINT (760560.6952006117 2125519.9715690906)
250,"-96.785793,32.791269",36.0,32.791269,-96.785793,POINT (760548.3713976168 2126016.8354874724)
251,"-96.785837,32.79575",36.0,32.79575,-96.785837,POINT (760536.1434711204 2126513.5902502853)
252,"-96.785881,32.800231",36.0,32.800231,-96.785881,POINT (760523.9159577701 2127010.345205163)
253,"-96.785926,32.804713",36.0,32.804713,-96.785926,POINT (760511.5934133169 2127507.2097003753)
254,"-96.78597,32.809194",36.0,32.809194,-96.78597,POINT (760499.3667308888 2128003.965048667)
255,"-96.786015,32.813676",36.0,32.813676,-96.786015,POINT (760487.0450268086 2128500.8299436998)
256,"-96.786059,32.818157",36.0,32.818157,-96.786059,POINT (760474.8191751041 2128997.58569757)
257,"-96.786103,32.822638",36.0,32.822638,-96.786103,POINT (760462.5937362999 2129494.341658718)
258,"-96.786148,32.82712",36.0,32.82712,-96.786148,POINT (760450.2732900206 2129991.207176214)
259,"-96.786192,32.831601",36.0,32.831601,-96.786192,POINT (760438.0486816424 2130487.9635611963)
260,"-96.786237,32.836082",36.0,32.836082,-96.786237,POINT (760425.7308841017 2130984.7186354953)
261,"-96.786281,32.840563",36.0,32.840563,-96.786281,POINT (760413.5071059087 2131481.4754564343)
262,"-96.786326,32.845044",36.0,32.845044,-96.786326,POINT (760401.1901479104 2131978.2309730095)
263,"-96.78637,32.849525",36.0,32.849525,-96.78637,POINT (760388.9671997027 2132474.988242071)
264,"-96.786415,32.854006",36.0,32.854006,-96.786415,POINT (760376.6510810495 2132971.7442130935)
265,"-96.786459,32.858487",36.0,32.858487,-96.786459,POINT (760364.428962633 2133468.501942456)
266,"-96.786504,32.862968",36.0,32.862968,-96.786504,POINT (760352.1136831273 2133965.258380092)
267,"-96.786548,32.867449",36.0,32.867449,-96.786548,POINT (760339.8923943003 2134462.016581926)
268,"-96.786593,32.87193",36.0,32.87193,-96.786593,POINT (760327.5779537447 2134958.7734983475)
269,"-96.786637,32.876411",36.0,32.876411,-96.786637,POINT (760315.357494313 2135455.5321848216)
270,"-96.786682,32.880892",36.0,32.880892,-96.786682,POINT (760303.0438925091 2135952.2895922065)
271,"-96.786726,32.885373",36.0,32.885373,-96.786726,POINT (760290.8242622744 2136449.048775495)
272,"-96.786771,32.889854",36.0,32.889854,-96.786771,POINT (760278.511499027 2136945.8066860177)
273,"-96.786815,32.894335",36.0,32.894335,-96.786815,POINT (760266.2926977908 2137442.5663782954)
